scenario_group_id,business_profile_id,request_id,lot_id,candidate_id,source_type,product_category,product_subcategory,action_type,business_type,storage_requirement_mode,urgency_level,surplus_source,destination_type,seasonality_status,package_format,planning_quantity,remaining_shelf_life_days,remaining_safe_window_hours,remaining_commercial_window_days,unit_cost,normal_selling_price,offered_or_selling_price_per_unit,direct_action_cost,logistics_cost,handling_cost,estimated_completion_hours,active_demand_quantity,available_capacity,minimum_order_quantity,capability_resource_ratio,demand_coverage_ratio,demand_freshness_hours,distance_km,package_volume_ml,package_weight_g,simulated_rescue_outcome
SG-00001,BP-001,SYN-REQ-00001,SYN-LOT-00001,SYN-CAND-00001-01,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,CANNED_DRINK,INTERNAL_USE,MEDIUM_FNB,AMBIENT_ALLOWED,HIGH,USER_DECLARED,INTERNAL_OPERATION,POST_SEASON,CAN,52,278,326.48,45.12,63313.02,75323.5,0.0,41138.08,0.0,11085.35,287.48,128,110,1,2.1154,2.4615,38.18,0.0,2795.19,647.53,1
SG-00001,BP-001,SYN-REQ-00001,SYN-LOT-00001,SYN-CAND-00001-02,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,CANNED_DRINK,DONATION,MEDIUM_FNB,AMBIENT_ALLOWED,HIGH,USER_DECLARED,DONATION_PARTNER,POST_SEASON,CAN,52,61,257.84,59.24,66555.23,102641.48,0.0,2190.19,35537.35,3857.24,218.82,125,114,1,2.1923,2.4038,114.75,8.19,3736.57,9675.42,1
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-01,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,INTERNAL_USE,SMALL_FNB,AMBIENT_ALLOWED,MEDIUM,RULE_TRIGGERED,INTERNAL_OPERATION,POST_SEASON,JAR,49,36,599.9,29.17,66948.9,106462.14,0.0,34124.78,0.0,3493.81,221.13,62,135,1,2.7551,1.2653,33.58,0.0,86.44,7871.37,1
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-02,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,LOCAL_DISCOUNT,SMALL_FNB,AMBIENT_ALLOWED,MEDIUM,RULE_TRIGGERED,LOCAL_CUSTOMER,POST_SEASON,JAR,49,106,332.58,60.72,53858.37,85828.7,73598.11,33420.15,0.0,11777.41,44.6,54,38,1,0.7755,1.102,94.96,0.0,3836.74,6350.84,1
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-03,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,PROMOTIONAL_BONUS,SMALL_FNB,AMBIENT_ALLOWED,MEDIUM,RULE_TRIGGERED,LOCAL_CUSTOMER,POST_SEASON,JAR,49,221,316.69,26.54,45179.19,67380.24,36897.42,11696.97,0.0,1457.57,123.2,27,147,1,3.0,0.551,47.27,0.0,1503.29,6622.55,0
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-04,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,DONATION,SMALL_FNB,AMBIENT_ALLOWED,MEDIUM,RULE_TRIGGERED,DONATION_PARTNER,POST_SEASON,JAR,49,312,479.65,49.36,45448.51,74930.96,0.0,36117.97,7663.54,11546.93,371.02,63,44,1,0.898,1.2857,27.09,1.4,2530.17,1531.6,0
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-05,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,INTERNAL_REPURPOSE,SMALL_FNB,AMBIENT_ALLOWED,MEDIUM,RULE_TRIGGERED,INTERNAL_OPERATION,POST_SEASON,JAR,49,88,455.28,32.48,56312.99,79530.84,47535.58,48094.88,0.0,22714.52,38.37,61,66,1,1.3469,1.2449,117.55,0.0,1366.06,9692.07,1
SG-00003,BP-003,SYN-REQ-00003,SYN-LOT-00003,SYN-CAND-00003-01,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,CANNED_DRINK,LOCAL_DISCOUNT,MEDIUM_RETAIL,AMBIENT_ALLOWED,CRITICAL,CALCULATED,LOCAL_CUSTOMER,PRE_SEASON,CAN,69,296,130.57,102.94,37550.55,46626.52,25593.3,21604.65,0.0,15682.72,94.21,134,119,1,1.7246,1.942,98.13,0.0,3266.74,853.6,1
SG-00003,BP-003,SYN-REQ-00003,SYN-LOT-00003,SYN-CAND-00003-02,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,CANNED_DRINK,INTERNAL_USE,MEDIUM_RETAIL,AMBIENT_ALLOWED,CRITICAL,CALCULATED,INTERNAL_OPERATION,PRE_SEASON,CAN,69,263,357.7,40.25,34432.98,38878.28,0.0,29382.23,0.0,4264.82,49.54,151,51,1,0.7391,2.1884,155.42,0.0,2926.25,3475.23,1
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-01,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,DETERGENT,EXTERNAL_PARTNER,SMALL_FNB,NONE,MEDIUM,CALCULATED,EXTERNAL_PARTNER,IN_SEASON,PACK,118,98,19.47,81.15,27862.38,40804.46,25923.07,14061.69,50745.77,16485.57,16.63,219,100,31,0.8475,1.8559,122.14,4.79,3854.81,1086.33,1
