                                          count          mean           std          min           25%           50%           75%            max
planning_quantity                 12,020.000000    125.308735     71.657218     2.000000     62.000000    126.000000    188.000000     250.000000
remaining_shelf_life_days         12,020.000000    182.713894    105.259538     1.000000     93.000000    182.000000    274.000000     365.000000
remaining_safe_window_hours       12,020.000000    348.232005    210.000118     4.080000    161.827500    340.855000    529.830000     719.900000
remaining_commercial_window_days  12,020.000000     50.721182     34.926547     1.000000     19.450000     46.080000     79.447500     119.970000
unit_cost                         12,020.000000 40,878.895042 22,569.925835 2,008.410000 21,331.865000 40,663.435000 60,646.532500  79,985.940000
normal_selling_price              12,020.000000 59,357.602381 34,241.710302 2,265.790000 30,414.130000 57,511.670000 86,003.825000 142,157.540000
offered_or_selling_price_per_unit 12,020.000000 32,290.734700 28,654.123361     0.000000  6,195.920000 27,568.185000 51,171.462500 138,062.930000
direct_action_cost                12,020.000000 25,217.795025 14,369.763992     0.960000 12,808.225000 25,332.310000 37,643.347500  49,997.470000
logistics_cost                    12,020.000000 19,100.117159 24,336.833359     0.000000      0.000000      0.000000 38,404.075000  74,965.870000
handling_cost                     12,020.000000 12,483.657889  7,198.756732     0.330000  6,282.835000 12,477.900000 18,653.275000  24,993.830000
estimated_completion_hours        12,020.000000    149.103324    140.982254     0.500000     35.767500    103.715000    222.602500     669.040000
active_demand_quantity            12,020.000000    219.776705    163.430188     1.000000     88.000000    182.000000    325.000000     744.000000
available_capacity                12,020.000000    219.374293    163.236906     1.000000     87.000000    181.000000    322.000000     747.000000
minimum_order_quantity            12,020.000000     23.024958     41.858498     1.000000      1.000000      1.000000     27.000000     238.000000
capability_resource_ratio         12,020.000000      1.751074      0.731322     0.333300      1.124025      1.750000      2.382400       3.000000
demand_coverage_ratio             12,020.000000      1.746206      0.729557     0.333300      1.114750      1.740900      2.377425       3.000000
demand_freshness_hours            12,020.000000     84.357876     48.407933     0.010000     42.250000     84.600000    126.120000     168.000000
distance_km                       12,020.000000     10.201764     13.052191     0.000000      0.000000      0.000000     20.450000      39.990000
