scenario_group_id,split,row_count
SG-00001,train,2
SG-00002,train,5
SG-00003,train,2
SG-00005,train,5
SG-00007,train,7
SG-00008,train,2
SG-00009,train,5
SG-00010,train,5
SG-00011,train,7
SG-00012,train,6
SG-00013,train,2
SG-00015,train,2
SG-00016,train,8
SG-00017,train,7
SG-00018,train,5
SG-00020,train,7
SG-00021,train,2
SG-00022,train,2
SG-00024,train,8
SG-00025,train,4
SG-00026,train,2
SG-00027,train,8
SG-00028,train,4
SG-00029,train,2
SG-00030,train,2
SG-00031,train,5
SG-00032,train,4
SG-00034,train,8
SG-00036,train,2
SG-00037,train,3
SG-00039,train,3
SG-00040,train,5
SG-00041,train,3
SG-00044,train,8
SG-00045,train,4
SG-00046,train,6
SG-00048,train,6
SG-00049,train,2
SG-00051,train,3
SG-00052,train,3
SG-00054,train,3
SG-00056,train,2
SG-00058,train,5
SG-00061,train,3
SG-00062,train,7
SG-00063,train,7
SG-00065,train,4
SG-00067,train,4
SG-00068,train,2
SG-00069,train,3
SG-00070,train,6
SG-00071,train,4
SG-00072,train,4
SG-00074,train,3
SG-00076,train,4
SG-00078,train,4
SG-00079,train,2
SG-00080,train,4
SG-00081,train,4
SG-00083,train,7
SG-00084,train,4
SG-00085,train,2
SG-00087,train,8
SG-00088,train,8
SG-00089,train,7
SG-00091,train,3
SG-00092,train,2
SG-00095,train,8
SG-00097,train,7
SG-00098,train,8
SG-00099,train,2
SG-00100,train,8
SG-00101,train,7
SG-00102,train,2
SG-00103,train,2
SG-00104,train,7
SG-00107,train,5
SG-00108,train,5
SG-00109,train,3
SG-00110,train,3
SG-00111,train,4
SG-00112,train,3
SG-00113,train,4
SG-00114,train,2
SG-00117,train,7
SG-00118,train,4
SG-00120,train,5
SG-00123,train,7
SG-00124,train,6
SG-00126,train,8
SG-00127,train,6
SG-00128,train,4
SG-00129,train,4
SG-00130,train,7
SG-00131,train,6
SG-00132,train,3
SG-00133,train,5
SG-00134,train,4
SG-00135,train,2
SG-00136,train,6
SG-00137,train,2
SG-00139,train,7
SG-00140,train,5
SG-00141,train,8
SG-00142,train,3
SG-00143,train,6
SG-00144,train,7
SG-00145,train,4
SG-00147,train,6
SG-00148,train,4
SG-00149,train,7
SG-00151,train,7
SG-00152,train,5
SG-00153,train,4
SG-00157,train,7
SG-00158,train,4
SG-00159,train,4
SG-00166,train,6
SG-00167,train,4
SG-00169,train,8
SG-00170,train,2
SG-00171,train,3
SG-00172,train,8
SG-00173,train,6
SG-00174,train,8
SG-00175,train,5
SG-00176,train,6
SG-00177,train,3
SG-00178,train,3
SG-00179,train,5
SG-00180,train,5
SG-00181,train,3
SG-00182,train,2
SG-00185,train,2
SG-00186,train,8
SG-00187,train,5
SG-00188,train,5
SG-00190,train,2
SG-00192,train,6
SG-00193,train,6
SG-00194,train,5
SG-00196,train,6
SG-00198,train,7
SG-00199,train,7
SG-00200,train,4
SG-00201,train,2
SG-00202,train,3
SG-00203,train,5
SG-00204,train,8
SG-00209,train,7
SG-00210,train,2
SG-00213,train,4
SG-00214,train,3
SG-00215,train,6
SG-00216,train,8
SG-00217,train,8
SG-00218,train,3
SG-00219,train,8
SG-00220,train,2
SG-00221,train,4
SG-00223,train,2
SG-00224,train,8
SG-00225,train,5
SG-00226,train,4
SG-00230,train,4
SG-00231,train,2
SG-00232,train,4
SG-00233,train,3
SG-00234,train,5
SG-00235,train,6
SG-00236,train,3
SG-00237,train,5
SG-00238,train,6
SG-00239,train,4
SG-00240,train,5
SG-00242,train,7
SG-00243,train,5
SG-00244,train,5
SG-00245,train,6
SG-00246,train,5
SG-00247,train,2
SG-00249,train,4
SG-00250,train,3
SG-00251,train,2
SG-00253,train,3
SG-00254,train,6
SG-00255,train,8
SG-00257,train,6
SG-00258,train,4
SG-00259,train,7
SG-00260,train,5
SG-00261,train,4
SG-00264,train,3
SG-00268,train,4
SG-00269,train,2
SG-00270,train,8
SG-00274,train,8
SG-00275,train,7
SG-00277,train,7
SG-00279,train,4
SG-00281,train,6
SG-00282,train,2
SG-00283,train,2
SG-00284,train,6
SG-00285,train,5
SG-00286,train,6
SG-00290,train,5
SG-00293,train,4
SG-00294,train,6
SG-00297,train,2
SG-00298,train,7
SG-00299,train,6
SG-00300,train,8
SG-00301,train,3
SG-00303,train,8
SG-00305,train,5
SG-00306,train,8
SG-00307,train,6
SG-00308,train,4
SG-00309,train,3
SG-00310,train,6
SG-00311,train,2
SG-00312,train,3
SG-00313,train,3
SG-00314,train,4
SG-00316,train,7
SG-00318,train,7
SG-00319,train,6
SG-00320,train,4
SG-00322,train,2
SG-00323,train,2
SG-00325,train,7
SG-00327,train,8
SG-00328,train,8
SG-00329,train,4
SG-00330,train,7
SG-00332,train,8
SG-00333,train,7
SG-00335,train,8
SG-00336,train,7
SG-00337,train,5
SG-00338,train,4
SG-00339,train,2
SG-00341,train,7
SG-00343,train,7
SG-00344,train,5
SG-00345,train,8
SG-00347,train,5
SG-00348,train,2
SG-00349,train,4
SG-00351,train,5
SG-00353,train,8
SG-00354,train,7
SG-00355,train,2
SG-00357,train,8
SG-00358,train,2
SG-00360,train,6
SG-00361,train,8
SG-00362,train,4
SG-00363,train,6
SG-00364,train,5
SG-00366,train,5
SG-00368,train,5
SG-00369,train,5
SG-00370,train,3
SG-00371,train,4
SG-00372,train,5
SG-00373,train,8
SG-00375,train,8
SG-00377,train,8
SG-00379,train,8
SG-00380,train,3
SG-00381,train,7
SG-00382,train,3
SG-00383,train,7
SG-00384,train,4
SG-00386,train,3
SG-00388,train,2
SG-00389,train,8
SG-00390,train,5
SG-00391,train,2
SG-00393,train,6
SG-00394,train,2
SG-00395,train,2
SG-00396,train,5
SG-00397,train,5
SG-00401,train,8
SG-00404,train,8
SG-00405,train,4
SG-00407,train,6
SG-00408,train,8
SG-00409,train,5
SG-00412,train,8
SG-00416,train,5
SG-00417,train,4
SG-00419,train,7
SG-00420,train,5
SG-00421,train,5
SG-00422,train,4
SG-00423,train,4
SG-00425,train,7
SG-00426,train,2
SG-00427,train,7
SG-00428,train,4
SG-00430,train,2
SG-00431,train,2
SG-00432,train,3
SG-00434,train,8
SG-00435,train,2
SG-00436,train,2
SG-00437,train,3
SG-00444,train,2
SG-00445,train,4
SG-00448,train,7
SG-00449,train,2
SG-00450,train,5
SG-00452,train,3
SG-00453,train,2
SG-00454,train,7
SG-00455,train,4
SG-00456,train,4
SG-00458,train,8
SG-00461,train,8
SG-00462,train,7
SG-00464,train,5
SG-00466,train,7
SG-00467,train,2
SG-00468,train,2
SG-00469,train,8
SG-00470,train,4
SG-00471,train,8
SG-00472,train,3
SG-00473,train,2
SG-00474,train,8
SG-00475,train,4
SG-00476,train,3
SG-00477,train,7
SG-00478,train,5
SG-00480,train,3
SG-00481,train,3
SG-00484,train,4
SG-00485,train,4
SG-00488,train,2
SG-00490,train,7
SG-00493,train,6
SG-00494,train,8
SG-00496,train,7
SG-00498,train,4
SG-00499,train,2
SG-00501,train,5
SG-00502,train,2
SG-00503,train,8
SG-00505,train,8
SG-00506,train,2
SG-00507,train,4
SG-00508,train,4
SG-00509,train,7
SG-00510,train,3
SG-00511,train,3
SG-00512,train,8
SG-00514,train,8
SG-00515,train,8
SG-00517,train,5
SG-00518,train,3
SG-00519,train,3
SG-00520,train,5
SG-00521,train,5
SG-00523,train,5
SG-00524,train,3
SG-00525,train,8
SG-00530,train,7
SG-00531,train,6
SG-00532,train,6
SG-00533,train,3
SG-00537,train,6
SG-00538,train,3
SG-00539,train,8
SG-00540,train,3
SG-00542,train,2
SG-00543,train,7
SG-00544,train,6
SG-00545,train,6
SG-00547,train,5
SG-00548,train,2
SG-00549,train,3
SG-00550,train,7
SG-00551,train,7
SG-00552,train,6
SG-00553,train,5
SG-00554,train,5
SG-00555,train,7
SG-00557,train,8
SG-00558,train,5
SG-00559,train,6
SG-00562,train,2
SG-00564,train,3
SG-00567,train,7
SG-00568,train,3
SG-00569,train,2
SG-00572,train,8
SG-00573,train,3
SG-00574,train,6
SG-00575,train,8
SG-00576,train,2
SG-00579,train,5
SG-00580,train,3
SG-00581,train,2
SG-00582,train,5
SG-00583,train,7
SG-00584,train,3
SG-00586,train,4
SG-00587,train,3
SG-00588,train,5
SG-00589,train,7
SG-00592,train,8
SG-00594,train,7
SG-00595,train,5
SG-00596,train,2
SG-00597,train,3
SG-00599,train,7
SG-00600,train,4
SG-00601,train,4
SG-00602,train,4
SG-00603,train,2
SG-00604,train,6
SG-00607,train,2
SG-00608,train,3
SG-00609,train,8
SG-00610,train,6
SG-00611,train,4
SG-00612,train,5
SG-00613,train,4
SG-00615,train,8
SG-00616,train,7
SG-00618,train,4
SG-00619,train,7
SG-00620,train,5
SG-00622,train,2
SG-00626,train,8
SG-00627,train,3
SG-00628,train,2
SG-00629,train,7
SG-00630,train,5
SG-00631,train,3
SG-00632,train,6
SG-00633,train,3
SG-00637,train,4
SG-00638,train,2
SG-00639,train,8
SG-00640,train,7
SG-00641,train,3
SG-00644,train,8
SG-00648,train,6
SG-00649,train,6
SG-00652,train,7
SG-00654,train,7
SG-00655,train,7
SG-00656,train,2
SG-00657,train,4
SG-00658,train,8
SG-00659,train,4
SG-00660,train,7
SG-00661,train,2
SG-00663,train,5
SG-00664,train,5
SG-00665,train,5
SG-00666,train,4
SG-00667,train,7
SG-00672,train,5
SG-00673,train,2
SG-00674,train,2
SG-00675,train,3
SG-00677,train,7
SG-00678,train,6
SG-00679,train,2
SG-00680,train,4
SG-00681,train,3
SG-00682,train,8
SG-00683,train,6
SG-00684,train,5
SG-00685,train,6
SG-00686,train,3
SG-00687,train,4
SG-00689,train,8
SG-00692,train,8
SG-00693,train,3
SG-00694,train,7
SG-00695,train,3
SG-00696,train,5
SG-00697,train,3
SG-00698,train,7
SG-00699,train,8
SG-00700,train,7
SG-00701,train,6
SG-00702,train,8
SG-00703,train,8
SG-00704,train,6
SG-00705,train,5
SG-00706,train,4
SG-00710,train,8
SG-00711,train,5
SG-00712,train,2
SG-00714,train,4
SG-00716,train,8
SG-00717,train,2
SG-00718,train,8
SG-00720,train,7
SG-00721,train,5
SG-00723,train,6
SG-00724,train,6
SG-00725,train,4
SG-00727,train,8
SG-00728,train,3
SG-00729,train,8
SG-00730,train,6
SG-00731,train,4
SG-00732,train,5
SG-00734,train,6
SG-00735,train,4
SG-00738,train,7
SG-00739,train,6
SG-00740,train,4
SG-00742,train,5
SG-00743,train,2
SG-00744,train,7
SG-00745,train,6
SG-00746,train,2
SG-00748,train,5
SG-00749,train,3
SG-00751,train,3
SG-00752,train,4
SG-00756,train,8
SG-00757,train,4
SG-00758,train,3
SG-00760,train,7
SG-00762,train,7
SG-00764,train,7
SG-00766,train,7
SG-00767,train,6
SG-00768,train,7
SG-00771,train,7
SG-00772,train,4
SG-00773,train,4
SG-00774,train,6
SG-00776,train,8
SG-00777,train,4
SG-00778,train,3
SG-00780,train,5
SG-00781,train,6
SG-00784,train,2
SG-00785,train,3
SG-00786,train,4
SG-00787,train,5
SG-00789,train,7
SG-00790,train,6
SG-00791,train,5
SG-00793,train,3
SG-00794,train,4
SG-00796,train,2
SG-00797,train,3
SG-00798,train,5
SG-00799,train,2
SG-00800,train,6
SG-00801,train,5
SG-00803,train,8
SG-00804,train,3
SG-00805,train,4
SG-00807,train,2
SG-00809,train,3
SG-00811,train,5
SG-00812,train,6
SG-00813,train,2
SG-00818,train,8
SG-00819,train,3
SG-00820,train,2
SG-00822,train,7
SG-00824,train,2
SG-00826,train,4
SG-00828,train,8
SG-00830,train,3
SG-00832,train,6
SG-00834,train,3
SG-00836,train,5
SG-00838,train,4
SG-00842,train,6
SG-00843,train,4
SG-00844,train,4
SG-00846,train,5
SG-00847,train,5
SG-00848,train,3
SG-00849,train,3
SG-00851,train,5
SG-00853,train,7
SG-00854,train,5
SG-00855,train,5
SG-00856,train,7
SG-00857,train,4
SG-00859,train,3
SG-00860,train,5
SG-00861,train,2
SG-00864,train,5
SG-00865,train,8
SG-00866,train,8
SG-00867,train,4
SG-00869,train,3
SG-00870,train,5
SG-00872,train,6
SG-00873,train,8
SG-00874,train,5
SG-00875,train,5
SG-00876,train,6
SG-00877,train,8
SG-00878,train,6
SG-00879,train,4
SG-00880,train,2
SG-00881,train,4
SG-00882,train,5
SG-00883,train,3
SG-00884,train,8
SG-00885,train,3
SG-00886,train,3
SG-00890,train,4
SG-00891,train,6
SG-00892,train,2
SG-00893,train,2
SG-00895,train,7
SG-00896,train,7
SG-00897,train,4
SG-00898,train,8
SG-00899,train,5
SG-00900,train,7
SG-00901,train,8
SG-00903,train,6
SG-00906,train,2
SG-00907,train,6
SG-00908,train,4
SG-00910,train,4
SG-00912,train,6
SG-00913,train,3
SG-00914,train,5
SG-00915,train,8
SG-00918,train,7
SG-00920,train,5
SG-00921,train,8
SG-00922,train,5
SG-00923,train,8
SG-00924,train,7
SG-00925,train,8
SG-00928,train,6
SG-00934,train,6
SG-00935,train,5
SG-00936,train,2
SG-00937,train,6
SG-00938,train,3
SG-00940,train,4
SG-00941,train,5
SG-00942,train,4
SG-00943,train,6
SG-00945,train,8
SG-00946,train,8
SG-00947,train,7
SG-00948,train,2
